-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	3	42552	82407	36973	|	0.91266	0.86888	0.44866	0.59176	|	0.91070	0.84207	0.44092	0.57878	|	[4] <= [15, 24, 27], -iterate/-dimlex
4	2	73536	82407	45106	|	0.88746	0.61338	0.54735	0.57849	|	0.88563	0.59889	0.54142	0.56870	|	[4] <= [15, 27], direct
4	2	50490	82407	41987	|	0.91624	0.83159	0.50950	0.63187	|	0.91513	0.81883	0.50564	0.62521	|	[4] <= [15, 27], -iterate/-dimlex
4	1	22938	82407	10666	|	0.85616	0.46499	0.12943	0.20249	|	0.85483	0.43120	0.12116	0.18917	|	[4] <= [15], direct
4	1	11177	82407	7981	|	0.86710	0.71405	0.09684	0.17056	|	0.86644	0.67943	0.09258	0.16296	|	[4] <= [15], -iterate/-dimlex
4	2	59412	82407	30732	|	0.86242	0.51726	0.37292	0.43339	|	0.85924	0.48594	0.35844	0.41256	|	[4] <= [15, 24], direct
4	2	28611	82407	22522	|	0.88704	0.78717	0.27330	0.40573	|	0.88554	0.75638	0.26544	0.39298	|	[4] <= [15, 24], -iterate/-dimlex
4	3	61132	82407	43763	|	0.90410	0.71587	0.53105	0.60977	|	0.90165	0.69253	0.52279	0.59581	|	[4] <= [15, 21, 27], direct
4	3	45414	82407	40102	|	0.91847	0.88303	0.48663	0.62747	|	0.91699	0.86402	0.48120	0.61814	|	[4] <= [15, 21, 27], -iterate/-dimlex
4	2	62630	82407	42392	|	0.89684	0.67686	0.51442	0.58456	|	0.89448	0.65487	0.50617	0.57100	|	[4] <= [15, 21], direct
4	2	47623	82407	40343	|	0.91552	0.84713	0.48955	0.62051	|	0.91410	0.82972	0.48437	0.61166	|	[4] <= [15, 21], -iterate/-dimlex
4	3	54320	82407	37975	|	0.89594	0.69909	0.46082	0.55548	|	0.89288	0.66620	0.44887	0.53635	|	[4] <= [15, 21, 24], direct
4	3	37601	82407	33918	|	0.91067	0.90205	0.41159	0.56526	|	0.90906	0.87705	0.40480	0.55393	|	[4] <= [15, 21, 24], -iterate/-dimlex
4	4	62863	82407	44653	|	0.90418	0.71032	0.54185	0.61475	|	0.90088	0.67966	0.53088	0.59613	|	[4] <= [15, 18, 24, 27], direct
4	4	46791	82407	41416	|	0.92061	0.88512	0.50257	0.64112	|	0.91881	0.86264	0.49614	0.62996	|	[4] <= [15, 18, 24, 27], -iterate/-dimlex
4	3	61635	82407	43849	|	0.90353	0.71143	0.53210	0.60883	|	0.90104	0.68785	0.52370	0.59466	|	[4] <= [15, 18, 27], direct
4	3	45538	82407	40256	|	0.91879	0.88400	0.48850	0.62927	|	0.91740	0.86619	0.48341	0.62052	|	[4] <= [15, 18, 27], -iterate/-dimlex
4	2	59344	82407	37746	|	0.88656	0.63605	0.45804	0.53256	|	0.88401	0.61103	0.44809	0.51703	|	[4] <= [15, 18], direct
4	2	38208	82407	31614	|	0.90175	0.82741	0.38363	0.52421	|	0.90058	0.80964	0.37851	0.51585	|	[4] <= [15, 18], -iterate/-dimlex
4	3	53523	82407	36369	|	0.89181	0.67950	0.44133	0.53511	|	0.88865	0.64501	0.42853	0.51494	|	[4] <= [15, 18, 24], direct
4	3	31586	82407	28993	|	0.90411	0.91790	0.35182	0.50868	|	0.90276	0.89295	0.34556	0.49829	|	[4] <= [15, 18, 24], -iterate/-dimlex
4	4	63802	82407	47402	|	0.91199	0.74295	0.57521	0.64841	|	0.90933	0.71862	0.56706	0.63391	|	[4] <= [15, 18, 21, 27], direct
4	4	49414	82407	43920	|	0.92470	0.88881	0.53296	0.66635	|	0.92316	0.87068	0.52783	0.65723	|	[4] <= [15, 18, 21, 27], -iterate/-dimlex
4	3	53224	82407	39567	|	0.90327	0.74340	0.48014	0.58345	|	0.90080	0.71629	0.47087	0.56821	|	[4] <= [15, 18, 21], direct
4	3	39639	82407	36015	|	0.91436	0.90857	0.43703	0.59018	|	0.91291	0.88713	0.43117	0.58029	|	[4] <= [15, 18, 21], -iterate/-dimlex
