-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	7	16196	66165	6196	|	0.87979	0.38256	0.09364	0.15045	|	0.87576	0.23795	0.06038	0.09632	|	[4] <= [7, 12, 15, 18, 21, 24, 27], direct
4	7	4333	66165	2501	|	0.88747	0.57719	0.03779	0.07095	|	0.88596	0.37479	0.02487	0.04665	|	[4] <= [7, 12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	6	15759	66165	5806	|	0.87920	0.36842	0.08775	0.14174	|	0.87493	0.21080	0.05216	0.08363	|	[4] <= [12, 15, 18, 21, 24, 27], direct
4	6	3732	66165	2342	|	0.88796	0.62754	0.03539	0.06701	|	0.88623	0.35825	0.02051	0.03881	|	[4] <= [12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	5	15479	66165	4955	|	0.87675	0.32011	0.07488	0.12138	|	0.87263	0.16499	0.04005	0.06445	|	[4] <= [15, 18, 21, 24, 27], direct
4	5	3501	66165	2170	|	0.88776	0.61982	0.03279	0.06229	|	0.88631	0.37760	0.02023	0.03842	|	[4] <= [15, 18, 21, 24, 27], -iterate/-dimlex
4	4	21266	66165	5784	|	0.86966	0.27198	0.08741	0.13231	|	0.86534	0.15386	0.05140	0.07706	|	[4] <= [18, 21, 24, 27], direct
4	4	4978	66165	2597	|	0.88669	0.52169	0.03925	0.07300	|	0.88488	0.31016	0.02371	0.04405	|	[4] <= [18, 21, 24, 27], -iterate/-dimlex
4	3	28465	66165	6125	|	0.85846	0.21517	0.09257	0.12945	|	0.85411	0.12611	0.05641	0.07796	|	[4] <= [21, 24, 27], direct
4	3	10451	66165	3625	|	0.88082	0.34685	0.05478	0.09462	|	0.87888	0.23844	0.03831	0.06602	|	[4] <= [21, 24, 27], -iterate/-dimlex
4	2	18019	66165	4284	|	0.87008	0.23774	0.06474	0.10177	|	0.86686	0.13363	0.03745	0.05851	|	[4] <= [24, 27], direct
4	2	4119	66165	2185	|	0.88675	0.53046	0.03302	0.06217	|	0.88546	0.34765	0.02189	0.04119	|	[4] <= [24, 27], -iterate/-dimlex
