-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	3	54087	85705	46174	|	0.91922	0.85369	0.53875	0.66061	|	0.91914	0.85277	0.53848	0.66013	|	[4] <= [15, 24, 27], -iterate/-dimlex
4	2	68499	85705	45245	|	0.89153	0.66052	0.52791	0.58682	|	0.88743	0.62543	0.51429	0.56444	|	[4] <= [15, 27], direct
4	2	48768	85705	42148	|	0.91457	0.86425	0.49177	0.62686	|	0.91168	0.82945	0.48151	0.60931	|	[4] <= [15, 27], -iterate/-dimlex
4	1	25286	85705	12978	|	0.85523	0.51324	0.15142	0.23385	|	0.85216	0.44198	0.13320	0.20470	|	[4] <= [15], direct
4	1	14110	85705	10630	|	0.86626	0.75336	0.12403	0.21299	|	0.86336	0.63253	0.10625	0.18193	|	[4] <= [15], -iterate/-dimlex
4	2	48124	85705	27217	|	0.86483	0.56555	0.31756	0.40674	|	0.86281	0.54089	0.30798	0.39248	|	[4] <= [15, 24], direct
4	2	20032	85705	18018	|	0.88133	0.89946	0.21023	0.34080	|	0.88088	0.88618	0.20777	0.33662	|	[4] <= [15, 24], -iterate/-dimlex
4	3	63760	85705	45778	|	0.90141	0.71797	0.53413	0.61255	|	0.89985	0.70359	0.52909	0.60399	|	[4] <= [15, 21, 27], direct
4	3	49275	85705	43544	|	0.91846	0.88369	0.50806	0.64519	|	0.91840	0.88294	0.50785	0.64482	|	[4] <= [15, 21, 27], -iterate/-dimlex
4	2	51362	85705	38694	|	0.89839	0.75335	0.45147	0.56459	|	0.89742	0.74222	0.44779	0.55858	|	[4] <= [15, 21], direct
4	2	39491	85705	35182	|	0.90665	0.89088	0.41050	0.56203	|	0.90619	0.88407	0.40864	0.55893	|	[4] <= [15, 21], -iterate/-dimlex
4	3	61748	85705	44239	|	0.89959	0.71644	0.51617	0.60004	|	0.89832	0.70434	0.51192	0.59291	|	[4] <= [15, 21, 24], direct
