-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	7	69481	40487	38547	|	0.93936	0.55478	0.95208	0.70105	|	0.89042	0.17286	0.86094	0.28792	|	[4] <= [7, 12, 15, 18, 21, 24, 27], direct
4	7	42065	40487	37813	|	0.98722	0.89891	0.93395	0.91610	|	0.93897	0.27707	0.81338	0.41334	|	[4] <= [7, 12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	6	71837	40487	38104	|	0.93338	0.53042	0.94114	0.67846	|	0.88009	0.12822	0.79446	0.22080	|	[4] <= [12, 15, 18, 21, 24, 27], direct
4	6	41778	40487	37444	|	0.98639	0.89626	0.92484	0.91032	|	0.93382	0.21410	0.74616	0.33273	|	[4] <= [12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	5	72734	40487	37431	|	0.92924	0.51462	0.92451	0.66120	|	0.87468	0.10785	0.71965	0.18760	|	[4] <= [15, 18, 21, 24, 27], direct
4	5	39551	40487	36355	|	0.98648	0.91919	0.89794	0.90844	|	0.93354	0.19354	0.64944	0.29821	|	[4] <= [15, 18, 21, 24, 27], -iterate/-dimlex
4	4	75511	40487	36745	|	0.92159	0.48661	0.90757	0.63354	|	0.86807	0.10235	0.67378	0.17771	|	[4] <= [18, 21, 24, 27], direct
4	4	39447	40487	35614	|	0.98394	0.90283	0.87964	0.89108	|	0.93204	0.18954	0.60542	0.28870	|	[4] <= [18, 21, 24, 27], -iterate/-dimlex
4	3	80732	40487	34608	|	0.90408	0.42867	0.85479	0.57099	|	0.85203	0.07913	0.52078	0.13739	|	[4] <= [21, 24, 27], direct
4	3	38664	40487	33872	|	0.97896	0.87606	0.83661	0.85588	|	0.92780	0.15867	0.48117	0.23865	|	[4] <= [21, 24, 27], -iterate/-dimlex
4	2	68613	40487	30023	|	0.90952	0.43757	0.74154	0.55037	|	0.86405	0.07832	0.33931	0.12726	|	[4] <= [24, 27], direct
4	2	30162	40487	27583	|	0.97144	0.91449	0.68128	0.78084	|	0.92991	0.16809	0.28207	0.21065	|	[4] <= [24, 27], -iterate/-dimlex
4	1	7755	40487	100	|	0.91138	0.01289	0.00246	0.00414	|	0.91137	0.01173	0.00224	0.00377	|	[4] <= [27], direct
4	1	902	40487	0	|	0.92366	0.0	0.0	0	|	0.92366	0.0	0.0	0	|	[4] <= [27], -iterate/-dimlex
4	1	65961	40487	29976	|	0.91424	0.45445	0.74038	0.56320	|	0.86878	0.08083	0.33655	0.13036	|	[4] <= [24], direct
4	1	27650	40487	25588	|	0.96871	0.92542	0.63200	0.75107	|	0.93040	0.17410	0.24420	0.20328	|	[4] <= [24], -iterate/-dimlex
4	2	51390	40487	24822	|	0.92210	0.48301	0.61308	0.54033	|	0.88350	0.07579	0.19913	0.10979	|	[4] <= [21, 27], direct
