-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	7	66604	82406	54205	|	0.93049	0.81384	0.65777	0.72753	|	0.92438	0.76032	0.64230	0.69635	|	[4] <= [7, 12, 15, 18, 21, 24, 27], direct
4	7	57335	82406	52464	|	0.94039	0.91504	0.63665	0.75087	|	0.93785	0.88910	0.62997	0.73743	|	[4] <= [7, 12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	6	62048	82406	50092	|	0.92420	0.80731	0.60786	0.69353	|	0.91818	0.75061	0.59038	0.66092	|	[4] <= [12, 15, 18, 21, 24, 27], direct
4	6	51062	82406	46386	|	0.93032	0.90842	0.56289	0.69508	|	0.92821	0.88431	0.55626	0.68294	|	[4] <= [12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	5	58377	82406	45406	|	0.91444	0.77780	0.55100	0.64504	|	0.91087	0.74207	0.53934	0.62467	|	[4] <= [15, 18, 21, 24, 27], direct
4	5	45689	82406	41888	|	0.92412	0.91680	0.50831	0.65401	|	0.92219	0.89209	0.50148	0.64204	|	[4] <= [15, 18, 21, 24, 27], -iterate/-dimlex
4	4	67935	82406	50338	|	0.91497	0.74097	0.61085	0.66965	|	0.91103	0.70711	0.59968	0.64898	|	[4] <= [18, 21, 24, 27], direct
4	4	52415	82406	47210	|	0.93083	0.90069	0.57289	0.70033	|	0.92872	0.87719	0.56641	0.68835	|	[4] <= [18, 21, 24, 27], -iterate/-dimlex
4	3	70345	82406	49469	|	0.90786	0.70323	0.60030	0.64770	|	0.90404	0.67149	0.58917	0.62764	|	[4] <= [21, 24, 27], direct
4	3	52094	82406	46784	|	0.92992	0.89806	0.56772	0.69567	|	0.92789	0.87532	0.56141	0.68407	|	[4] <= [21, 24, 27], -iterate/-dimlex
4	2	86463	82406	49160	|	0.87921	0.56856	0.59655	0.58222	|	0.87565	0.54451	0.58611	0.56454	|	[4] <= [24, 27], direct
4	2	55387	82406	46529	|	0.92341	0.84007	0.56463	0.67534	|	0.92143	0.81921	0.55844	0.66414	|	[4] <= [24, 27], -iterate/-dimlex
4	1	63187	82406	41490	|	0.89280	0.65662	0.50348	0.56994	|	0.89102	0.64022	0.49716	0.55969	|	[4] <= [27], direct
4	1	43999	82406	38702	|	0.91610	0.87961	0.46965	0.61234	|	0.91529	0.86879	0.46656	0.60710	|	[4] <= [27], -iterate/-dimlex
4	1	42449	82406	23949	|	0.86824	0.56418	0.29062	0.38362	|	0.86474	0.51603	0.27257	0.35672	|	[4] <= [24], direct
4	1	15894	82406	14946	|	0.88288	0.94035	0.18137	0.30408	|	0.88042	0.85000	0.16685	0.27894	|	[4] <= [24], -iterate/-dimlex
4	2	80757	82406	51945	|	0.89852	0.64322	0.63035	0.63672	|	0.89499	0.61772	0.62088	0.61930	|	[4] <= [21, 27], direct
4	2	59096	82406	49994	|	0.92892	0.84597	0.60667	0.70661	|	0.92618	0.81887	0.59888	0.69180	|	[4] <= [21, 27], -iterate/-dimlex
4	1	47847	82406	36752	|	0.90284	0.76811	0.44598	0.56431	|	0.90016	0.73540	0.43526	0.54685	|	[4] <= [21], direct
4	1	37495	82406	33822	|	0.91053	0.90204	0.41043	0.56416	|	0.90910	0.87974	0.40438	0.55408	|	[4] <= [21], -iterate/-dimlex
4	2	73557	82406	46324	|	0.89160	0.62977	0.56214	0.59403	|	0.88651	0.58935	0.54575	0.56671	|	[4] <= [21, 24], direct
4	2	48632	82406	42684	|	0.92181	0.87769	0.51797	0.65147	|	0.91845	0.83739	0.50622	0.63099	|	[4] <= [21, 24], -iterate/-dimlex
4	3	69916	82406	47903	|	0.90324	0.68515	0.58130	0.62897	|	0.89942	0.65328	0.56966	0.60861	|	[4] <= [18, 24, 27], direct
4	3	50903	82406	45641	|	0.92804	0.89662	0.55385	0.68473	|	0.92589	0.87191	0.54693	0.67220	|	[4] <= [18, 24, 27], -iterate/-dimlex
4	2	80441	82406	49428	|	0.89044	0.61446	0.59981	0.60704	|	0.88675	0.58768	0.58906	0.58837	|	[4] <= [18, 27], direct
4	2	56316	82406	46084	|	0.92029	0.81831	0.55923	0.66440	|	0.91833	0.79801	0.55303	0.65331	|	[4] <= [18, 27], -iterate/-dimlex
4	1	47599	82406	34342	|	0.89501	0.72148	0.41674	0.52831	|	0.88956	0.65459	0.39329	0.49136	|	[4] <= [18], direct
4	1	29887	82406	27992	|	0.90359	0.93659	0.33968	0.49855	|	0.89932	0.85314	0.31907	0.46444	|	[4] <= [18], -iterate/-dimlex
4	2	72363	82406	42977	|	0.88218	0.59390	0.52152	0.55536	|	0.87585	0.54283	0.49905	0.52002	|	[4] <= [18, 24], direct
4	2	42191	82406	37291	|	0.91437	0.88386	0.45252	0.59858	|	0.90953	0.81688	0.43308	0.56606	|	[4] <= [18, 24], -iterate/-dimlex
4	3	67311	82406	49872	|	0.91444	0.74091	0.60519	0.66621	|	0.91028	0.70486	0.59321	0.64423	|	[4] <= [18, 21, 27], direct
4	3	51338	82406	46660	|	0.93079	0.90887	0.56622	0.69775	|	0.92872	0.88540	0.55978	0.68591	|	[4] <= [18, 21, 27], -iterate/-dimlex
4	2	69600	82406	48393	|	0.90546	0.69530	0.58725	0.63672	|	0.89876	0.63915	0.56670	0.60075	|	[4] <= [18, 21], direct
4	2	50336	82406	44673	|	0.92570	0.88749	0.54210	0.67308	|	0.92110	0.83413	0.52668	0.64567	|	[4] <= [18, 21], -iterate/-dimlex
4	3	63089	82406	46500	|	0.91012	0.73705	0.56427	0.63919	|	0.90420	0.68227	0.54520	0.60608	|	[4] <= [18, 21, 24], direct
4	3	46730	82406	42753	|	0.92530	0.91489	0.51880	0.66213	|	0.92099	0.86109	0.50366	0.63557	|	[4] <= [18, 21, 24], -iterate/-dimlex
4	4	61621	82406	45369	|	0.90876	0.73625	0.55055	0.63000	|	0.90509	0.70148	0.53855	0.60931	|	[4] <= [15, 21, 24, 27], direct
4	4	47599	82406	42122	|	0.92165	0.88493	0.51115	0.64800	|	0.91966	0.86048	0.50414	0.63579	|	[4] <= [15, 21, 24, 27], -iterate/-dimlex
4	3	59557	82406	40148	|	0.89442	0.67411	0.48719	0.56561	|	0.89127	0.64324	0.47549	0.54679	|	[4] <= [15, 24, 27], direct
4	3	40626	82406	35452	|	0.91075	0.87264	0.43021	0.57630	|	0.90894	0.84669	0.42282	0.56400	|	[4] <= [15, 24, 27], -iterate/-dimlex
4	2	70886	82406	44281	|	0.88917	0.62467	0.53735	0.57773	|	0.88634	0.60130	0.52785	0.56219	|	[4] <= [15, 27], direct
4	2	49325	82406	41106	|	0.91522	0.83337	0.49882	0.62409	|	0.91305	0.80778	0.49102	0.61078	|	[4] <= [15, 27], -iterate/-dimlex
4	1	14012	82406	5889	|	0.85509	0.42028	0.07146	0.12215	|	0.85355	0.35605	0.06121	0.10446	|	[4] <= [15], direct
4	1	6195	82406	4329	|	0.86313	0.69878	0.05253	0.09771	|	0.86246	0.63567	0.04801	0.08928	|	[4] <= [15], -iterate/-dimlex
4	2	52537	82406	27800	|	0.86416	0.52915	0.33735	0.41202	|	0.85991	0.48198	0.31681	0.38231	|	[4] <= [15, 24], direct
4	2	23715	82406	18843	|	0.88283	0.79456	0.22866	0.35512	|	0.87996	0.72384	0.21263	0.32871	|	[4] <= [15, 24], -iterate/-dimlex
4	3	58236	82406	42643	|	0.90522	0.73224	0.51747	0.60640	|	0.90160	0.69590	0.50475	0.58511	|	[4] <= [15, 21, 27], direct
4	3	43939	82406	38875	|	0.91680	0.88474	0.47174	0.61537	|	0.91482	0.85850	0.46425	0.60262	|	[4] <= [15, 21, 27], -iterate/-dimlex
4	2	56099	82406	39501	|	0.89812	0.70413	0.47934	0.57039	|	0.89459	0.66739	0.46599	0.54879	|	[4] <= [15, 21], direct
4	2	43835	82406	37842	|	0.91344	0.86328	0.45921	0.59951	|	0.91131	0.83492	0.45093	0.58559	|	[4] <= [15, 21], -iterate/-dimlex
4	3	50592	82406	36613	|	0.89766	0.72369	0.44430	0.55057	|	0.89304	0.67038	0.42549	0.52057	|	[4] <= [15, 21, 24], direct
4	3	36491	82406	32971	|	0.90933	0.90353	0.40010	0.55461	|	0.90625	0.85423	0.38671	0.53240	|	[4] <= [15, 21, 24], -iterate/-dimlex
4	4	61068	82406	44420	|	0.90646	0.72738	0.53903	0.61920	|	0.90275	0.69191	0.52659	0.59804	|	[4] <= [15, 18, 24, 27], direct
4	4	46241	82406	41010	|	0.92017	0.88687	0.49765	0.63755	|	0.91810	0.86079	0.49019	0.62466	|	[4] <= [15, 18, 24, 27], -iterate/-dimlex
4	3	58970	82406	42767	|	0.90439	0.72523	0.51897	0.60501	|	0.90072	0.68890	0.50614	0.58354	|	[4] <= [15, 18, 27], direct
4	3	43431	82406	38437	|	0.91617	0.88501	0.46643	0.61090	|	0.91420	0.85860	0.45890	0.59812	|	[4] <= [15, 18, 27], -iterate/-dimlex
4	2	55482	82406	36598	|	0.88924	0.65963	0.44411	0.53083	|	0.88304	0.59439	0.41857	0.49122	|	[4] <= [15, 18], direct
4	2	35704	82406	29842	|	0.89997	0.83581	0.36213	0.50532	|	0.89527	0.75899	0.34017	0.46978	|	[4] <= [15, 18], -iterate/-dimlex
4	3	51022	82406	35781	|	0.89408	0.70128	0.43420	0.53633	|	0.88833	0.63549	0.41017	0.49855	|	[4] <= [15, 18, 24], direct
4	3	31077	82406	28606	|	0.90366	0.92048	0.34713	0.50414	|	0.89952	0.84274	0.32741	0.47160	|	[4] <= [15, 18, 24], -iterate/-dimlex
4	4	62418	82406	47270	|	0.91391	0.75731	0.57362	0.65279	|	0.90995	0.72033	0.56133	0.63097	|	[4] <= [15, 18, 21, 27], direct
4	4	49594	82406	44108	|	0.92503	0.88938	0.53525	0.66830	|	0.92295	0.86482	0.52828	0.65590	|	[4] <= [15, 18, 21, 27], -iterate/-dimlex
4	3	51414	82406	39324	|	0.90554	0.76485	0.47719	0.58771	|	0.89970	0.69854	0.45463	0.55079	|	[4] <= [15, 18, 21], direct
4	3	38428	82406	34969	|	0.91286	0.90998	0.42435	0.57879	|	0.90872	0.84703	0.40694	0.54976	|	[4] <= [15, 18, 21], -iterate/-dimlex
4	4	55354	82406	42105	|	0.90831	0.76064	0.51094	0.61128	|	0.90260	0.70034	0.49029	0.57679	|	[4] <= [15, 18, 21, 24], direct
4	4	42991	82406	38713	|	0.91787	0.90049	0.46978	0.61744	|	0.91367	0.84354	0.45355	0.58991	|	[4] <= [15, 18, 21, 24], -iterate/-dimlex
4	5	66215	82406	52697	|	0.92599	0.79584	0.63948	0.70914	|	0.91966	0.74001	0.62254	0.67621	|	[4] <= [12, 18, 21, 24, 27], direct
4	5	54275	82406	49555	|	0.93567	0.91303	0.60135	0.72511	|	0.93343	0.88888	0.59490	0.71277	|	[4] <= [12, 18, 21, 24, 27], -iterate/-dimlex
4	4	71938	82406	54578	|	0.92263	0.75868	0.66230	0.70722	|	0.91605	0.70528	0.64579	0.67423	|	[4] <= [12, 21, 24, 27], direct
4	4	59743	82406	53576	|	0.94008	0.89677	0.65014	0.75380	|	0.93732	0.86982	0.64317	0.73952	|	[4] <= [12, 21, 24, 27], -iterate/-dimlex
4	3	75264	82406	54007	|	0.91498	0.71756	0.65537	0.68506	|	0.90704	0.65595	0.63482	0.64522	|	[4] <= [12, 24, 27], direct
4	3	58528	82406	51487	|	0.93501	0.87969	0.62479	0.73065	|	0.93281	0.85777	0.61886	0.71899	|	[4] <= [12, 24, 27], -iterate/-dimlex
4	2	86389	82406	57040	|	0.90632	0.66026	0.69218	0.67584	|	0.89666	0.59494	0.66955	0.63005	|	[4] <= [12, 27], direct
4	2	65466	82406	55391	|	0.93649	0.84610	0.67217	0.74917	|	0.93495	0.83227	0.66853	0.74147	|	[4] <= [12, 27], -iterate/-dimlex
4	1	60989	82406	48914	|	0.92198	0.80201	0.59357	0.68222	|	0.91058	0.69278	0.55782	0.61802	|	[4] <= [12], direct
4	1	52186	82406	47016	|	0.93055	0.90093	0.57054	0.69864	|	0.92233	0.80885	0.54394	0.65046	|	[4] <= [12], -iterate/-dimlex
4	2	82391	82406	54653	|	0.90499	0.66333	0.66321	0.66327	|	0.89308	0.57887	0.63215	0.60434	|	[4] <= [12, 24], direct
4	2	60561	82406	52644	|	0.93549	0.86927	0.63883	0.73644	|	0.93120	0.82789	0.62750	0.71390	|	[4] <= [12, 24], -iterate/-dimlex
4	3	70793	82406	54100	|	0.92295	0.76419	0.65650	0.70627	|	0.91574	0.70464	0.63798	0.66966	|	[4] <= [12, 21, 27], direct
4	3	58238	82406	52452	|	0.93881	0.90064	0.63650	0.74588	|	0.93667	0.87927	0.63093	0.73468	|	[4] <= [12, 21, 27], -iterate/-dimlex
4	2	74184	82406	54691	|	0.91917	0.73723	0.66367	0.69852	|	0.90973	0.66287	0.63955	0.65100	|	[4] <= [12, 21], direct
4	2	60982	82406	52665	|	0.93484	0.86361	0.63909	0.73458	|	0.93057	0.82276	0.62784	0.71220	|	[4] <= [12, 21], -iterate/-dimlex
4	3	67890	82406	51839	|	0.92018	0.76357	0.62906	0.68982	|	0.91275	0.69960	0.60843	0.65083	|	[4] <= [12, 21, 24], direct
4	3	55763	82406	49794	|	0.93394	0.89295	0.60425	0.72076	|	0.92963	0.84783	0.59178	0.69704	|	[4] <= [12, 21, 24], -iterate/-dimlex
4	4	71634	82406	53819	|	0.92055	0.75130	0.65309	0.69876	|	0.91334	0.69253	0.63441	0.66220	|	[4] <= [12, 18, 24, 27], direct
4	4	56732	82406	51037	|	0.93654	0.89961	0.61933	0.73361	|	0.93427	0.87629	0.61312	0.72145	|	[4] <= [12, 18, 24, 27], -iterate/-dimlex
4	3	71213	82406	53759	|	0.92107	0.75490	0.65236	0.69990	|	0.91292	0.68810	0.63107	0.65835	|	[4] <= [12, 18, 27], direct
4	3	57579	82406	51874	|	0.93796	0.90091	0.62949	0.74113	|	0.93551	0.87606	0.62294	0.72813	|	[4] <= [12, 18, 27], -iterate/-dimlex
4	2	76675	82406	55032	|	0.91608	0.71773	0.66781	0.69187	|	0.90385	0.62462	0.63630	0.63041	|	[4] <= [12, 18], direct
4	2	60440	82406	52887	|	0.93653	0.87503	0.64178	0.74047	|	0.93181	0.82950	0.62940	0.71573	|	[4] <= [12, 18], -iterate/-dimlex
4	3	68568	82406	51514	|	0.91791	0.75128	0.62512	0.68242	|	0.90857	0.67171	0.59854	0.63302	|	[4] <= [12, 18, 24], direct
4	3	53475	82406	48643	|	0.93392	0.90964	0.59028	0.71596	|	0.92863	0.85187	0.57432	0.68609	|	[4] <= [12, 18, 24], -iterate/-dimlex
4	4	70238	82406	54556	|	0.92547	0.77673	0.66203	0.71481	|	0.91855	0.71924	0.64462	0.67989	|	[4] <= [12, 18, 21, 27], direct
4	4	58668	82406	53070	|	0.94019	0.90458	0.64400	0.75237	|	0.93738	0.87661	0.63677	0.73768	|	[4] <= [12, 18, 21, 27], -iterate/-dimlex
4	3	65049	82406	52138	|	0.92607	0.80151	0.63269	0.70717	|	0.91773	0.72659	0.60960	0.66297	|	[4] <= [12, 18, 21], direct
4	3	54218	82406	49716	|	0.93632	0.91696	0.60330	0.72777	|	0.93142	0.86419	0.58903	0.70056	|	[4] <= [12, 18, 21], -iterate/-dimlex
4	4	66892	82406	52716	|	0.92489	0.78807	0.63971	0.70618	|	0.91754	0.72385	0.61989	0.66785	|	[4] <= [12, 18, 21, 24], direct
4	4	55562	82406	50876	|	0.93799	0.91566	0.61738	0.73750	|	0.93274	0.86049	0.60260	0.70882	|	[4] <= [12, 18, 21, 24], -iterate/-dimlex
4	5	62627	82406	49704	|	0.92188	0.79365	0.60315	0.68541	|	0.91593	0.73814	0.58568	0.65313	|	[4] <= [12, 15, 21, 24, 27], direct
4	5	50729	82406	45841	|	0.92903	0.90364	0.55628	0.68863	|	0.92702	0.88052	0.54987	0.67698	|	[4] <= [12, 15, 21, 24, 27], -iterate/-dimlex
4	4	67877	82406	51113	|	0.91772	0.75302	0.62025	0.68022	|	0.91110	0.69608	0.60157	0.64538	|	[4] <= [12, 15, 24, 27], direct
4	4	55229	82406	49278	|	0.93309	0.89224	0.59799	0.71606	|	0.93070	0.86695	0.59105	0.70290	|	[4] <= [12, 15, 24, 27], -iterate/-dimlex
4	3	66197	82406	50470	|	0.91839	0.76242	0.61245	0.67925	|	0.91099	0.69710	0.59099	0.63967	|	[4] <= [12, 15, 27], direct
4	3	54192	82406	48767	|	0.93312	0.89989	0.59178	0.71402	|	0.93139	0.88125	0.58672	0.70444	|	[4] <= [12, 15, 27], -iterate/-dimlex
4	2	69756	82406	51653	|	0.91635	0.74048	0.62681	0.67892	|	0.90498	0.64526	0.59409	0.61862	|	[4] <= [12, 15], direct
4	2	57834	82406	49760	|	0.93028	0.86039	0.60383	0.70964	|	0.92634	0.82060	0.59245	0.68811	|	[4] <= [12, 15], -iterate/-dimlex
4	3	59434	82406	44756	|	0.91041	0.75303	0.54311	0.63107	|	0.90210	0.67141	0.51453	0.58260	|	[4] <= [12, 15, 24], direct
4	3	46151	82406	40657	|	0.91911	0.88095	0.49337	0.63251	|	0.91525	0.83213	0.47913	0.60812	|	[4] <= [12, 15, 24], -iterate/-dimlex
4	4	66902	82406	52099	|	0.92276	0.77873	0.63222	0.69787	|	0.91624	0.72180	0.61440	0.66378	|	[4] <= [12, 15, 21, 27], direct
4	4	56795	82406	50515	|	0.93464	0.88942	0.61300	0.72578	|	0.93281	0.87055	0.60790	0.71589	|	[4] <= [12, 15, 21, 27], -iterate/-dimlex
4	3	57177	82406	45425	|	0.91656	0.79446	0.55123	0.65086	|	0.90975	0.72492	0.52848	0.61131	|	[4] <= [12, 15, 21], direct
4	3	46782	82406	42288	|	0.92362	0.90393	0.51316	0.65467	|	0.91989	0.85735	0.49994	0.63159	|	[4] <= [12, 15, 21], -iterate/-dimlex
4	4	61451	82406	48084	|	0.91835	0.78247	0.58350	0.66849	|	0.91184	0.72057	0.56334	0.63233	|	[4] <= [12, 15, 21, 24], direct
4	4	51040	82406	45932	|	0.92880	0.89992	0.55738	0.68839	|	0.92489	0.85515	0.54476	0.66554	|	[4] <= [12, 15, 21, 24], -iterate/-dimlex
4	5	62290	82406	49260	|	0.92094	0.79081	0.59777	0.68087	|	0.91448	0.73024	0.57847	0.64555	|	[4] <= [12, 15, 18, 24, 27], direct
