-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	7	14977	66165	6658	|	0.88347	0.44454	0.10062	0.16410	|	0.87952	0.29117	0.06828	0.11062	|	[4] <= [7, 12, 15, 18, 21, 24, 27], direct
4	7	4043	66165	2490	|	0.88793	0.61587	0.03763	0.07093	|	0.88649	0.40910	0.02531	0.04768	|	[4] <= [7, 12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	6	14979	66165	6665	|	0.88349	0.44495	0.10073	0.16427	|	0.87926	0.28079	0.06602	0.10690	|	[4] <= [12, 15, 18, 21, 24, 27], direct
4	6	3591	66165	2198	|	0.88770	0.61208	0.03321	0.06301	|	0.88632	0.38735	0.02128	0.04034	|	[4] <= [12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	5	12542	66165	4370	|	0.87979	0.34842	0.06604	0.11104	|	0.87554	0.15125	0.02978	0.04976	|	[4] <= [15, 18, 21, 24, 27], direct
4	5	2908	66165	2133	|	0.88865	0.73349	0.03223	0.06176	|	0.88724	0.45048	0.02004	0.03838	|	[4] <= [15, 18, 21, 24, 27], -iterate/-dimlex
4	4	16870	66165	5113	|	0.87491	0.30308	0.07727	0.12315	|	0.87050	0.15091	0.04003	0.06327	|	[4] <= [18, 21, 24, 27], direct
4	4	3851	66165	2366	|	0.88783	0.61438	0.03575	0.06758	|	0.88614	0.35756	0.02112	0.03989	|	[4] <= [18, 21, 24, 27], -iterate/-dimlex
4	3	18746	66165	4908	|	0.87098	0.26181	0.07417	0.11560	|	0.86654	0.12402	0.03656	0.05648	|	[4] <= [21, 24, 27], direct
4	3	4037	66165	2180	|	0.88688	0.54000	0.03294	0.06210	|	0.88546	0.33638	0.02078	0.03914	|	[4] <= [21, 24, 27], -iterate/-dimlex
4	2	20864	66165	4440	|	0.86573	0.21280	0.06710	0.10203	|	0.86251	0.12289	0.03988	0.06022	|	[4] <= [24, 27], direct
4	2	4769	66165	2295	|	0.88601	0.48123	0.03468	0.06470	|	0.88471	0.32249	0.02351	0.04383	|	[4] <= [24, 27], -iterate/-dimlex
4	1	5666	66165	537	|	0.87843	0.09477	0.00811	0.01495	|	0.87843	0.09477	0.00811	0.01495	|	[4] <= [27], direct
4	1	1245	66165	429	|	0.88566	0.34457	0.00648	0.01272	|	0.88566	0.34457	0.00648	0.01272	|	[4] <= [27], -iterate/-dimlex
4	1	16096	66165	4174	|	0.87301	0.25931	0.06308	0.10148	|	0.86979	0.14276	0.03574	0.05717	|	[4] <= [24], direct
4	1	3816	66165	2087	|	0.88694	0.54690	0.03154	0.05964	|	0.88564	0.34984	0.02040	0.03856	|	[4] <= [24], -iterate/-dimlex
4	2	22092	66165	4510	|	0.86386	0.20414	0.06816	0.10220	|	0.86054	0.11646	0.04006	0.05961	|	[4] <= [21, 27], direct
4	2	7030	66165	1634	|	0.87986	0.23243	0.02469	0.04464	|	0.87907	0.16756	0.01792	0.03238	|	[4] <= [21, 27], -iterate/-dimlex
4	1	17639	66165	4332	|	0.87090	0.24559	0.06547	0.10338	|	0.86757	0.13577	0.03728	0.05850	|	[4] <= [21], direct
