-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	7	69134	85705	56682	|	0.92939	0.81988	0.66136	0.73214	|	0.91090	0.66284	0.61224	0.63653	|	[4] <= [7, 12, 15, 18, 21, 24, 27], direct
4	7	60299	85705	54672	|	0.93758	0.90668	0.63790	0.74891	|	0.92901	0.82316	0.61530	0.70421	|	[4] <= [7, 12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	6	64290	85705	52458	|	0.92325	0.81595	0.61207	0.69946	|	0.90625	0.66066	0.56092	0.60672	|	[4] <= [12, 15, 18, 21, 24, 27], direct
4	6	53695	85705	48586	|	0.92810	0.90485	0.56689	0.69707	|	0.92018	0.81817	0.54202	0.65207	|	[4] <= [12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	5	60562	85705	47578	|	0.91298	0.78560	0.55513	0.65056	|	0.89914	0.65134	0.50850	0.57113	|	[4] <= [15, 18, 21, 24, 27], direct
4	5	48315	85705	44393	|	0.92299	0.91882	0.51797	0.66248	|	0.91569	0.83011	0.49260	0.61829	|	[4] <= [15, 18, 21, 24, 27], -iterate/-dimlex
4	4	68377	85705	51472	|	0.91294	0.75276	0.60057	0.66811	|	0.89665	0.61286	0.55038	0.57994	|	[4] <= [18, 21, 24, 27], direct
4	4	53373	85705	48382	|	0.92796	0.90648	0.56451	0.69575	|	0.91990	0.81777	0.53905	0.64978	|	[4] <= [18, 21, 24, 27], -iterate/-dimlex
4	3	70466	85705	50265	|	0.90527	0.71332	0.58648	0.64371	|	0.88671	0.55858	0.52620	0.54191	|	[4] <= [21, 24, 27], direct
4	3	52521	85705	47549	|	0.92657	0.90533	0.55479	0.68798	|	0.91940	0.82509	0.53177	0.64673	|	[4] <= [21, 24, 27], -iterate/-dimlex
4	2	87681	85705	50842	|	0.87793	0.57985	0.59322	0.58646	|	0.85717	0.44082	0.52577	0.47956	|	[4] <= [24, 27], direct
4	2	56783	85705	48167	|	0.92142	0.84826	0.56200	0.67608	|	0.90993	0.72942	0.52457	0.61026	|	[4] <= [24, 27], -iterate/-dimlex
4	1	66208	85705	44236	|	0.89199	0.66813	0.51614	0.58238	|	0.87112	0.48299	0.43538	0.45795	|	[4] <= [27], direct
4	1	46681	85705	41409	|	0.91561	0.88706	0.48315	0.62557	|	0.90550	0.75990	0.44469	0.56105	|	[4] <= [27], -iterate/-dimlex
4	1	41867	85705	24061	|	0.86474	0.57470	0.28074	0.37721	|	0.85709	0.46736	0.24094	0.31796	|	[4] <= [24], direct
4	1	15390	85705	14695	|	0.87792	0.95484	0.17146	0.29071	|	0.87442	0.82131	0.15110	0.25525	|	[4] <= [24], -iterate/-dimlex
4	2	82426	85705	53686	|	0.89656	0.65132	0.62640	0.63862	|	0.87269	0.48128	0.55336	0.51481	|	[4] <= [21, 27], direct
4	2	60860	85705	51637	|	0.92629	0.84845	0.60249	0.70462	|	0.91207	0.71117	0.55956	0.62632	|	[4] <= [21, 27], -iterate/-dimlex
4	1	48496	85705	37293	|	0.89850	0.76899	0.43513	0.55577	|	0.88212	0.57058	0.36369	0.44423	|	[4] <= [21], direct
4	1	38337	85705	34268	|	0.90550	0.89386	0.39983	0.55252	|	0.89148	0.67905	0.33603	0.44959	|	[4] <= [21], -iterate/-dimlex
4	2	74232	85705	47258	|	0.88862	0.63662	0.55140	0.59095	|	0.87007	0.48988	0.48608	0.48797	|	[4] <= [21, 24], direct
4	2	48689	85705	42992	|	0.91758	0.88299	0.50162	0.63979	|	0.91026	0.79465	0.47529	0.59482	|	[4] <= [21, 24], -iterate/-dimlex
4	3	70530	85705	49271	|	0.90178	0.69858	0.57489	0.63072	|	0.88430	0.55302	0.51704	0.53442	|	[4] <= [18, 24, 27], direct
4	3	51962	85705	46973	|	0.92556	0.90398	0.54807	0.68241	|	0.91458	0.77981	0.51128	0.61762	|	[4] <= [18, 24, 27], -iterate/-dimlex
