-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	7	71381	82407	57066	|	0.93210	0.79945	0.69248	0.74213	|	0.92987	0.78118	0.68754	0.73138	|	[4] <= [7, 12, 15, 18, 21, 24, 27], direct
4	7	61471	82407	55750	|	0.94456	0.90693	0.67652	0.77496	|	0.94308	0.89282	0.67308	0.76753	|	[4] <= [7, 12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	6	69127	82407	54127	|	0.92590	0.78300	0.65682	0.71438	|	0.92351	0.76287	0.65092	0.70246	|	[4] <= [12, 15, 18, 21, 24, 27], direct
4	6	58170	82407	52435	|	0.93886	0.90140	0.63629	0.74599	|	0.93731	0.88578	0.63223	0.73783	|	[4] <= [12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	5	66500	82407	49210	|	0.91356	0.74	0.59715	0.66094	|	0.91082	0.71590	0.58917	0.64638	|	[4] <= [15, 18, 21, 24, 27], direct
4	5	50708	82407	45753	|	0.92876	0.90228	0.55520	0.68742	|	0.92697	0.88171	0.54950	0.67705	|	[4] <= [15, 18, 21, 24, 27], -iterate/-dimlex
4	4	68238	82407	49489	|	0.91154	0.72524	0.60054	0.65702	|	0.90862	0.70024	0.59209	0.64164	|	[4] <= [18, 21, 24, 27], direct
4	4	51554	82407	46524	|	0.92995	0.90243	0.56456	0.69459	|	0.92812	0.88173	0.55885	0.68410	|	[4] <= [18, 21, 24, 27], -iterate/-dimlex
4	3	71716	82407	49027	|	0.90400	0.68362	0.59493	0.63620	|	0.90088	0.65816	0.58575	0.61985	|	[4] <= [21, 24, 27], direct
4	3	50733	82407	45615	|	0.92824	0.89911	0.55353	0.68521	|	0.92606	0.87396	0.54651	0.67249	|	[4] <= [21, 24, 27], -iterate/-dimlex
4	2	83139	82407	46131	|	0.87453	0.55486	0.55979	0.55731	|	0.87125	0.53184	0.54932	0.54044	|	[4] <= [24, 27], direct
4	2	50822	82407	42582	|	0.91771	0.83786	0.51672	0.63923	|	0.91588	0.81692	0.51040	0.62827	|	[4] <= [24, 27], -iterate/-dimlex
4	1	57648	82407	37550	|	0.88879	0.65136	0.45566	0.53621	|	0.88823	0.64567	0.45348	0.53278	|	[4] <= [27], direct
4	1	40057	82407	35346	|	0.91136	0.88239	0.42891	0.57724	|	0.91095	0.87640	0.42725	0.57445	|	[4] <= [27], -iterate/-dimlex
4	1	42220	82407	23159	|	0.86593	0.54853	0.28103	0.37165	|	0.86317	0.51046	0.26673	0.35038	|	[4] <= [24], direct
4	1	14346	82407	13815	|	0.88165	0.96298	0.16764	0.28557	|	0.88084	0.92973	0.16279	0.27707	|	[4] <= [24], -iterate/-dimlex
4	2	78949	82407	50803	|	0.89770	0.64349	0.61648	0.62970	|	0.89536	0.62621	0.61003	0.61801	|	[4] <= [21, 27], direct
4	2	55656	82407	47056	|	0.92475	0.84547	0.57101	0.68165	|	0.92295	0.82655	0.56546	0.67152	|	[4] <= [21, 27], -iterate/-dimlex
4	1	48573	82407	36888	|	0.90206	0.75943	0.44763	0.56326	|	0.90018	0.73684	0.44017	0.55112	|	[4] <= [21], direct
4	1	37407	82407	33731	|	0.91037	0.90172	0.40932	0.56305	|	0.90916	0.88296	0.40424	0.55458	|	[4] <= [21], -iterate/-dimlex
4	2	73827	82407	45664	|	0.88887	0.61852	0.55412	0.58455	|	0.88583	0.59443	0.54428	0.56825	|	[4] <= [21, 24], direct
4	2	47689	82407	41806	|	0.92041	0.87663	0.50731	0.64269	|	0.91833	0.85109	0.49991	0.62986	|	[4] <= [21, 24], -iterate/-dimlex
4	3	81595	82407	49850	|	0.88991	0.61094	0.60492	0.60791	|	0.88666	0.58767	0.59560	0.59161	|	[4] <= [18, 24, 27], direct
4	3	57411	82407	47390	|	0.92289	0.82545	0.57507	0.67788	|	0.92081	0.80428	0.56871	0.66629	|	[4] <= [18, 24, 27], -iterate/-dimlex
4	2	77275	82407	47463	|	0.88913	0.61420	0.57595	0.59446	|	0.88678	0.59648	0.56878	0.58230	|	[4] <= [18, 27], direct
4	2	53556	82407	43650	|	0.91668	0.81503	0.52968	0.64208	|	0.91499	0.79664	0.52399	0.63217	|	[4] <= [18, 27], -iterate/-dimlex
4	1	45086	82407	32182	|	0.89191	0.71379	0.39052	0.50484	|	0.88968	0.68486	0.38072	0.48939	|	[4] <= [18], direct
4	1	27470	82407	25952	|	0.90074	0.94473	0.31492	0.47238	|	0.89931	0.91427	0.30789	0.46065	|	[4] <= [18], -iterate/-dimlex
4	2	70570	82407	41095	|	0.87880	0.58232	0.49868	0.53727	|	0.87559	0.55568	0.48697	0.51907	|	[4] <= [18, 24], direct
4	2	42186	82407	37560	|	0.91529	0.89034	0.45578	0.60292	|	0.91353	0.86585	0.44887	0.59124	|	[4] <= [18, 24], -iterate/-dimlex
4	3	67080	82407	49309	|	0.91290	0.73507	0.59835	0.65970	|	0.91005	0.71019	0.59005	0.64457	|	[4] <= [18, 21, 27], direct
4	3	50486	82407	45969	|	0.92988	0.91052	0.55782	0.69181	|	0.92768	0.88505	0.55081	0.67903	|	[4] <= [18, 21, 27], -iterate/-dimlex
4	2	67666	82407	46532	|	0.90239	0.68767	0.56466	0.62012	|	0.89941	0.66192	0.55525	0.60391	|	[4] <= [18, 21], direct
4	2	48332	82407	42845	|	0.92287	0.88647	0.51991	0.65542	|	0.92053	0.85823	0.51183	0.64124	|	[4] <= [18, 21], -iterate/-dimlex
4	3	62061	82407	45031	|	0.90685	0.72559	0.54644	0.62340	|	0.90408	0.69956	0.53737	0.60784	|	[4] <= [18, 21, 24], direct
4	3	44819	82407	41141	|	0.92305	0.91793	0.49924	0.64673	|	0.92140	0.89651	0.49333	0.63645	|	[4] <= [18, 21, 24], -iterate/-dimlex
4	4	69425	82407	48668	|	0.90669	0.70101	0.59058	0.64107	|	0.90396	0.67802	0.58249	0.62664	|	[4] <= [15, 21, 24, 27], direct
4	4	51584	82407	45310	|	0.92574	0.87837	0.54983	0.67631	|	0.92384	0.85683	0.54367	0.66524	|	[4] <= [15, 21, 24, 27], -iterate/-dimlex
4	3	74077	82407	45255	|	0.88704	0.61091	0.54916	0.57839	|	0.88362	0.58394	0.53796	0.56001	|	[4] <= [15, 24, 27], direct
4	3	49373	82407	41900	|	0.91785	0.84864	0.50845	0.63590	|	0.91579	0.82431	0.50118	0.62336	|	[4] <= [15, 24, 27], -iterate/-dimlex
4	2	65090	82407	42166	|	0.89185	0.64781	0.51167	0.57175	|	0.89004	0.63151	0.50531	0.56140	|	[4] <= [15, 27], direct
4	2	44464	82407	38609	|	0.91499	0.86832	0.46851	0.60863	|	0.91394	0.85453	0.46453	0.60187	|	[4] <= [15, 27], -iterate/-dimlex
4	1	22938	82407	10666	|	0.85616	0.46499	0.12943	0.20249	|	0.85483	0.43120	0.12116	0.18917	|	[4] <= [15], direct
4	1	11177	82407	7981	|	0.86710	0.71405	0.09684	0.17056	|	0.86644	0.67943	0.09258	0.16296	|	[4] <= [15], -iterate/-dimlex
4	2	48234	82407	25872	|	0.86492	0.53638	0.31395	0.39607	|	0.86193	0.50020	0.29911	0.37436	|	[4] <= [15, 24], direct
4	2	17836	82407	16038	|	0.88329	0.89919	0.19461	0.31998	|	0.88190	0.85383	0.18663	0.30631	|	[4] <= [15, 24], -iterate/-dimlex
4	3	74411	82407	49090	|	0.89960	0.65971	0.59570	0.62607	|	0.89695	0.63888	0.58795	0.61236	|	[4] <= [15, 21, 27], direct
4	3	53654	82407	45740	|	0.92367	0.85249	0.55504	0.67234	|	0.92187	0.83287	0.54929	0.66199	|	[4] <= [15, 21, 27], -iterate/-dimlex
4	2	51851	82407	38435	|	0.90174	0.74125	0.46640	0.57255	|	0.89950	0.71593	0.45776	0.55845	|	[4] <= [15, 21], direct
4	2	38875	82407	34984	|	0.91214	0.89990	0.42452	0.57690	|	0.91051	0.87531	0.41777	0.56559	|	[4] <= [15, 21], -iterate/-dimlex
4	3	61299	82407	42804	|	0.90053	0.69828	0.51942	0.59571	|	0.89792	0.67340	0.51036	0.58065	|	[4] <= [15, 21, 24], direct
4	3	43283	82407	38627	|	0.91707	0.89242	0.46873	0.61463	|	0.91532	0.86886	0.46207	0.60330	|	[4] <= [15, 21, 24], -iterate/-dimlex
4	4	68438	82407	46951	|	0.90251	0.68603	0.56974	0.62250	|	0.89953	0.66068	0.56049	0.60647	|	[4] <= [15, 18, 24, 27], direct
4	4	50203	82407	43929	|	0.92338	0.87502	0.53307	0.66252	|	0.92145	0.85261	0.52661	0.65108	|	[4] <= [15, 18, 24, 27], -iterate/-dimlex
4	3	72248	82407	46621	|	0.89485	0.64529	0.56574	0.60290	|	0.89243	0.62569	0.55814	0.58999	|	[4] <= [15, 18, 27], direct
4	3	49916	82407	42735	|	0.91978	0.85613	0.51858	0.64591	|	0.91837	0.83959	0.51371	0.63741	|	[4] <= [15, 18, 27], -iterate/-dimlex
4	2	48737	82407	34011	|	0.89193	0.69784	0.41271	0.51868	|	0.88956	0.66951	0.40271	0.50291	|	[4] <= [15, 18], direct
4	2	29360	82407	27752	|	0.90367	0.94523	0.33676	0.49660	|	0.90255	0.92288	0.33144	0.48772	|	[4] <= [15, 18], -iterate/-dimlex
4	3	60050	82407	39935	|	0.89284	0.66502	0.48460	0.56066	|	0.88984	0.63583	0.47340	0.54272	|	[4] <= [15, 18, 24], direct
4	3	36582	82407	33892	|	0.91233	0.92646	0.41127	0.56966	|	0.91083	0.90249	0.40494	0.55904	|	[4] <= [15, 18, 24], -iterate/-dimlex
4	4	68026	82407	49353	|	0.91144	0.72550	0.59889	0.65614	|	0.90884	0.70318	0.59136	0.64244	|	[4] <= [15, 18, 21, 27], direct
4	4	51796	82407	45773	|	0.92696	0.88371	0.55545	0.68214	|	0.92524	0.86425	0.54994	0.67217	|	[4] <= [15, 18, 21, 27], -iterate/-dimlex
4	3	58871	82407	42523	|	0.90372	0.72230	0.51601	0.60197	|	0.90133	0.69852	0.50764	0.58798	|	[4] <= [15, 18, 21], direct
4	3	43126	82407	38781	|	0.91787	0.89924	0.47060	0.61786	|	0.91627	0.87759	0.46453	0.60750	|	[4] <= [15, 18, 21], -iterate/-dimlex
4	4	59178	82407	43801	|	0.90757	0.74015	0.53152	0.61872	|	0.90505	0.71529	0.52300	0.60422	|	[4] <= [15, 18, 21, 24], direct
4	4	44066	82407	40103	|	0.92078	0.91006	0.48664	0.63417	|	0.91917	0.88862	0.48069	0.62389	|	[4] <= [15, 18, 21, 24], -iterate/-dimlex
4	5	70486	82407	54553	|	0.92503	0.77395	0.66199	0.71361	|	0.92251	0.75305	0.65584	0.70109	|	[4] <= [12, 18, 21, 24, 27], direct
4	5	58314	82407	52817	|	0.93992	0.90573	0.64092	0.75066	|	0.93806	0.88702	0.63611	0.74090	|	[4] <= [12, 18, 21, 24, 27], -iterate/-dimlex
4	4	72355	82407	54823	|	0.92275	0.75769	0.66527	0.70848	|	0.92047	0.73928	0.65977	0.69726	|	[4] <= [12, 21, 24, 27], direct
4	4	58896	82407	52755	|	0.93872	0.89573	0.64017	0.74669	|	0.93718	0.88050	0.63621	0.73868	|	[4] <= [12, 21, 24, 27], -iterate/-dimlex
4	3	72385	82407	52942	|	0.91626	0.73139	0.64244	0.68404	|	0.91405	0.71354	0.63675	0.67296	|	[4] <= [12, 24, 27], direct
4	3	57116	82407	50623	|	0.93446	0.88631	0.61430	0.72565	|	0.93307	0.87211	0.61047	0.71820	|	[4] <= [12, 24, 27], -iterate/-dimlex
4	2	84604	82407	56089	|	0.90612	0.66295	0.68063	0.67168	|	0.90432	0.65053	0.67650	0.66326	|	[4] <= [12, 27], direct
4	2	64229	82407	54380	|	0.93515	0.84665	0.65989	0.74170	|	0.93380	0.83440	0.65661	0.73491	|	[4] <= [12, 27], -iterate/-dimlex
4	1	61111	82407	48745	|	0.92119	0.79764	0.59151	0.67928	|	0.91975	0.78390	0.58730	0.67151	|	[4] <= [12], direct
4	1	52005	82407	46849	|	0.93029	0.90085	0.56850	0.69709	|	0.92933	0.89004	0.56554	0.69162	|	[4] <= [12], -iterate/-dimlex
4	2	82854	82407	54235	|	0.90277	0.65458	0.65813	0.65635	|	0.90047	0.63838	0.65247	0.64535	|	[4] <= [12, 24], direct
4	2	60186	82407	52146	|	0.93442	0.86641	0.63278	0.73139	|	0.93284	0.85109	0.62863	0.72314	|	[4] <= [12, 24], -iterate/-dimlex
4	3	71011	82407	53867	|	0.92178	0.75857	0.65367	0.70222	|	0.91961	0.74074	0.64826	0.69142	|	[4] <= [12, 21, 27], direct
4	3	57707	82407	52026	|	0.93825	0.90155	0.63132	0.74262	|	0.93663	0.88514	0.62704	0.73406	|	[4] <= [12, 21, 27], -iterate/-dimlex
4	2	74681	82407	54596	|	0.91799	0.73105	0.66251	0.69510	|	0.91604	0.71573	0.65776	0.68552	|	[4] <= [12, 21], direct
4	2	60831	82407	52473	|	0.93444	0.86260	0.63675	0.73266	|	0.93307	0.84951	0.63321	0.72558	|	[4] <= [12, 21], -iterate/-dimlex
4	3	74182	82407	55280	|	0.92119	0.74519	0.67081	0.70605	|	0.91894	0.72749	0.66548	0.69511	|	[4] <= [12, 21, 24], direct
