-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	7	67521	85705	52604	|	0.91825	0.77907	0.61377	0.68661	|	0.90021	0.62217	0.55930	0.58906	|	[4] <= [7, 12, 15, 18, 21, 24, 27], direct
4	7	52348	85705	49049	|	0.93197	0.93697	0.57230	0.71058	|	0.91814	0.78172	0.52749	0.62992	|	[4] <= [7, 12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	6	65580	85705	50148	|	0.91319	0.76468	0.58512	0.66296	|	0.89469	0.59894	0.52486	0.55946	|	[4] <= [12, 15, 18, 21, 24, 27], direct
4	6	50781	85705	46865	|	0.92721	0.92288	0.54681	0.68673	|	0.91349	0.76422	0.49979	0.60434	|	[4] <= [12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	5	62183	85705	46902	|	0.90792	0.75425	0.54724	0.63429	|	0.89240	0.60760	0.49334	0.54454	|	[4] <= [15, 18, 21, 24, 27], direct
4	5	47728	85705	43781	|	0.92190	0.91730	0.51083	0.65622	|	0.90917	0.76058	0.46405	0.57642	|	[4] <= [15, 18, 21, 24, 27], -iterate/-dimlex
4	4	65951	85705	47574	|	0.90379	0.72135	0.55509	0.62739	|	0.88795	0.58027	0.50090	0.53768	|	[4] <= [18, 21, 24, 27], direct
4	4	48732	85705	44258	|	0.92182	0.90819	0.51639	0.65841	|	0.90928	0.75701	0.47092	0.58064	|	[4] <= [18, 21, 24, 27], -iterate/-dimlex
4	3	65803	85705	47431	|	0.90356	0.72080	0.55342	0.62611	|	0.88388	0.54512	0.48379	0.51263	|	[4] <= [21, 24, 27], direct
4	3	48256	85705	43187	|	0.91898	0.89495	0.50390	0.64476	|	0.90874	0.77032	0.46646	0.58106	|	[4] <= [21, 24, 27], -iterate/-dimlex
4	2	87680	85705	50837	|	0.87791	0.57980	0.59316	0.58640	|	0.82910	0.25281	0.38865	0.30635	|	[4] <= [24, 27], direct
4	2	56781	85705	48158	|	0.92139	0.84813	0.56190	0.67596	|	0.90927	0.72274	0.52221	0.60632	|	[4] <= [24, 27], -iterate/-dimlex
4	1	66201	85705	44227	|	0.89197	0.66807	0.51603	0.58229	|	0.82222	0.04915	0.07274	0.05866	|	[4] <= [27], direct
4	1	46720	85705	41401	|	0.91551	0.88615	0.48306	0.62527	|	0.88789	0.53884	0.36233	0.43330	|	[4] <= [27], -iterate/-dimlex
4	1	41870	85705	24057	|	0.86472	0.57456	0.28069	0.37714	|	0.85700	0.46634	0.24054	0.31738	|	[4] <= [24], direct
4	1	15387	85705	14692	|	0.87792	0.95483	0.17142	0.29066	|	0.87444	0.82218	0.15121	0.25544	|	[4] <= [24], -iterate/-dimlex
4	2	82421	85705	53673	|	0.89652	0.65120	0.62625	0.63848	|	0.85456	0.35219	0.47540	0.40462	|	[4] <= [21, 27], direct
4	2	60873	85705	51627	|	0.92624	0.84810	0.60238	0.70443	|	0.90086	0.60319	0.51864	0.55773	|	[4] <= [21, 27], -iterate/-dimlex
4	1	48501	85705	37290	|	0.89849	0.76885	0.43509	0.55571	|	0.88216	0.57110	0.36391	0.44455	|	[4] <= [21], direct
4	1	38340	85705	34268	|	0.90549	0.89379	0.39983	0.55250	|	0.89202	0.68735	0.33877	0.45385	|	[4] <= [21], -iterate/-dimlex
4	2	74244	85705	47258	|	0.88860	0.63652	0.55140	0.59091	|	0.87021	0.49106	0.48673	0.48889	|	[4] <= [21, 24], direct
4	2	48703	85705	42991	|	0.91755	0.88271	0.50161	0.63970	|	0.90694	0.75477	0.46254	0.57358	|	[4] <= [21, 24], -iterate/-dimlex
4	3	66666	85705	46324	|	0.89832	0.69486	0.54050	0.60804	|	0.87879	0.52280	0.46950	0.49471	|	[4] <= [18, 24, 27], direct
4	3	46035	85705	43074	|	0.92238	0.93567	0.50258	0.65392	|	0.91038	0.78257	0.45801	0.57783	|	[4] <= [18, 24, 27], -iterate/-dimlex
4	2	81679	85705	51027	|	0.88877	0.62472	0.59537	0.60969	|	0.85239	0.36306	0.46096	0.40619	|	[4] <= [18, 27], direct
4	2	57736	85705	47659	|	0.91807	0.82546	0.55608	0.66451	|	0.90238	0.66587	0.50260	0.57283	|	[4] <= [18, 27], -iterate/-dimlex
4	1	47882	85705	35195	|	0.89241	0.73503	0.41065	0.52692	|	0.88039	0.58759	0.35774	0.44472	|	[4] <= [18], direct
4	1	30567	85705	28887	|	0.90041	0.94503	0.33705	0.49688	|	0.89051	0.75496	0.28884	0.41782	|	[4] <= [18], -iterate/-dimlex
4	2	72738	85705	44132	|	0.88052	0.60672	0.51492	0.55707	|	0.86504	0.48175	0.45737	0.46925	|	[4] <= [18, 24], direct
4	2	43051	85705	38415	|	0.91159	0.89231	0.44822	0.59671	|	0.89949	0.72716	0.39830	0.51469	|	[4] <= [18, 24], -iterate/-dimlex
4	3	66104	85705	48351	|	0.90618	0.73143	0.56415	0.63699	|	0.88625	0.55436	0.49521	0.52312	|	[4] <= [18, 21, 27], direct
4	3	49085	85705	44873	|	0.92331	0.91418	0.52357	0.66582	|	0.90967	0.75100	0.47445	0.58152	|	[4] <= [18, 21, 27], -iterate/-dimlex
4	2	57527	85705	43224	|	0.90332	0.75136	0.50433	0.60355	|	0.88763	0.59116	0.44461	0.50752	|	[4] <= [18, 21], direct
4	2	40790	85705	38858	|	0.91695	0.95263	0.45339	0.61438	|	0.90662	0.80384	0.41173	0.54455	|	[4] <= [18, 21], -iterate/-dimlex
4	3	64253	85705	45784	|	0.90059	0.71255	0.53420	0.61062	|	0.88557	0.57521	0.48073	0.52374	|	[4] <= [18, 21, 24], direct
4	3	45239	85705	42150	|	0.92059	0.93171	0.49180	0.64378	|	0.90924	0.78434	0.44893	0.57103	|	[4] <= [18, 21, 24], -iterate/-dimlex
4	4	64791	85705	47267	|	0.90472	0.72953	0.55150	0.62814	|	0.88482	0.54905	0.48065	0.51258	|	[4] <= [15, 21, 24, 27], direct
4	4	47508	85705	42812	|	0.91898	0.90115	0.49952	0.64276	|	0.90880	0.77525	0.46198	0.57895	|	[4] <= [15, 21, 24, 27], -iterate/-dimlex
4	3	76380	85705	49108	|	0.89126	0.64294	0.57298	0.60595	|	0.84320	0.27331	0.36323	0.31192	|	[4] <= [15, 24, 27], direct
4	3	53489	85705	45887	|	0.91927	0.85787	0.53540	0.65932	|	0.90537	0.70534	0.48652	0.57584	|	[4] <= [15, 24, 27], -iterate/-dimlex
4	2	68742	85705	45381	|	0.89157	0.66016	0.52950	0.58765	|	0.82055	0.05324	0.08321	0.06493	|	[4] <= [15, 27], direct
4	2	48920	85705	42232	|	0.91460	0.86328	0.49276	0.62740	|	0.88592	0.51888	0.36864	0.43105	|	[4] <= [15, 27], -iterate/-dimlex
4	1	25283	85705	12979	|	0.85524	0.51334	0.15143	0.23388	|	0.83821	0.11786	0.03936	0.05901	|	[4] <= [15], direct
4	1	14074	85705	10595	|	0.86620	0.75280	0.12362	0.21236	|	0.85172	0.14828	0.02703	0.04573	|	[4] <= [15], -iterate/-dimlex
4	2	48213	85705	27266	|	0.86484	0.56553	0.31813	0.40720	|	0.85309	0.42231	0.25838	0.32061	|	[4] <= [15, 24], direct
4	2	20039	85705	18045	|	0.88141	0.90049	0.21054	0.34129	|	0.87493	0.71041	0.17383	0.27931	|	[4] <= [15, 24], -iterate/-dimlex
4	3	58057	85705	42299	|	0.89927	0.72857	0.49354	0.58845	|	0.87603	0.49346	0.39759	0.44037	|	[4] <= [15, 21, 27], direct
4	3	42922	85705	38375	|	0.91168	0.89406	0.44775	0.59668	|	0.89612	0.68114	0.38184	0.48935	|	[4] <= [15, 21, 27], -iterate/-dimlex
4	2	51368	85705	38692	|	0.89838	0.75323	0.45145	0.56454	|	0.88036	0.54720	0.37417	0.44444	|	[4] <= [15, 21], direct
4	2	39394	85705	35085	|	0.90648	0.89061	0.40936	0.56091	|	0.89170	0.67025	0.34280	0.45360	|	[4] <= [15, 21], -iterate/-dimlex
