-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	7	68232	82406	53032	|	0.92368	0.77723	0.64354	0.70409	|	0.91990	0.74489	0.63374	0.68483	|	[4] <= [7, 12, 15, 18, 21, 24, 27], direct
4	7	55257	82406	49808	|	0.93486	0.90138	0.60442	0.72362	|	0.93253	0.87677	0.59778	0.71088	|	[4] <= [7, 12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	6	66101	82406	50864	|	0.91991	0.76948	0.61723	0.68500	|	0.91652	0.73958	0.60782	0.66726	|	[4] <= [12, 15, 18, 21, 24, 27], direct
4	6	53165	82406	47964	|	0.93212	0.90217	0.58204	0.70758	|	0.92985	0.87723	0.57520	0.69481	|	[4] <= [12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	5	66432	82406	49830	|	0.91580	0.75009	0.60468	0.66958	|	0.91246	0.72070	0.59509	0.65190	|	[4] <= [15, 18, 21, 24, 27], direct
4	5	52068	82406	47040	|	0.93084	0.90343	0.57083	0.69961	|	0.92864	0.87877	0.56403	0.68707	|	[4] <= [15, 18, 21, 24, 27], -iterate/-dimlex
4	4	68033	82406	50229	|	0.91442	0.73830	0.60953	0.66776	|	0.91097	0.70864	0.59972	0.64965	|	[4] <= [18, 21, 24, 27], direct
4	4	52464	82406	47210	|	0.93074	0.89985	0.57289	0.70008	|	0.92855	0.87543	0.56615	0.68761	|	[4] <= [18, 21, 24, 27], -iterate/-dimlex
4	3	66172	82406	48117	|	0.91038	0.72715	0.58390	0.64770	|	0.90691	0.69648	0.57339	0.62897	|	[4] <= [21, 24, 27], direct
4	3	49924	82406	44956	|	0.92737	0.90048	0.54554	0.67945	|	0.92505	0.87332	0.53793	0.66578	|	[4] <= [21, 24, 27], -iterate/-dimlex
4	2	71335	82406	46158	|	0.89483	0.64705	0.56012	0.60046	|	0.89166	0.62109	0.55001	0.58339	|	[4] <= [24, 27], direct
4	2	49013	82406	43071	|	0.92248	0.87876	0.52266	0.65547	|	0.92064	0.85681	0.51635	0.64437	|	[4] <= [24, 27], -iterate/-dimlex
4	1	63187	82406	41490	|	0.89280	0.65662	0.50348	0.56994	|	0.89102	0.64022	0.49716	0.55969	|	[4] <= [27], direct
4	1	43999	82406	38702	|	0.91610	0.87961	0.46965	0.61234	|	0.91529	0.86879	0.46656	0.60710	|	[4] <= [27], -iterate/-dimlex
