-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	7	69157	85705	56689	|	0.92937	0.81971	0.66144	0.73212	|	0.90831	0.64081	0.60432	0.62203	|	[4] <= [7, 12, 15, 18, 21, 24, 27], direct
4	7	60336	85705	54681	|	0.93755	0.90627	0.63801	0.74884	|	0.92264	0.76108	0.59680	0.66900	|	[4] <= [7, 12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	6	64303	85705	52463	|	0.92325	0.81587	0.61213	0.69946	|	0.90119	0.61443	0.54307	0.57655	|	[4] <= [12, 15, 18, 21, 24, 27], direct
4	6	53718	85705	48599	|	0.92811	0.90470	0.56704	0.69714	|	0.91486	0.75987	0.52382	0.62014	|	[4] <= [12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	5	60564	85705	47577	|	0.91297	0.78556	0.55512	0.65054	|	0.89450	0.60635	0.49061	0.54237	|	[4] <= [15, 18, 21, 24, 27], direct
4	5	48337	85705	44395	|	0.92296	0.91844	0.51799	0.66240	|	0.91126	0.77627	0.47598	0.59012	|	[4] <= [15, 18, 21, 24, 27], -iterate/-dimlex
4	4	68374	85705	51471	|	0.91294	0.75278	0.60056	0.66811	|	0.89289	0.58055	0.53693	0.55789	|	[4] <= [18, 21, 24, 27], direct
4	4	53412	85705	48382	|	0.92789	0.90582	0.56451	0.69555	|	0.91548	0.76930	0.52402	0.62340	|	[4] <= [18, 21, 24, 27], -iterate/-dimlex
4	3	70463	85705	50257	|	0.90525	0.71323	0.58639	0.64362	|	0.87868	0.49173	0.49430	0.49301	|	[4] <= [21, 24, 27], direct
4	3	52552	85705	47505	|	0.92637	0.90396	0.55428	0.68719	|	0.91336	0.75858	0.51066	0.61041	|	[4] <= [21, 24, 27], -iterate/-dimlex
4	2	87680	85705	50837	|	0.87791	0.57980	0.59316	0.58640	|	0.82908	0.25265	0.38850	0.30619	|	[4] <= [24, 27], direct
4	2	56781	85705	48158	|	0.92139	0.84813	0.56190	0.67596	|	0.90927	0.72272	0.52220	0.60631	|	[4] <= [24, 27], -iterate/-dimlex
4	1	66201	85705	44227	|	0.89197	0.66807	0.51603	0.58229	|	0.82222	0.04915	0.07274	0.05866	|	[4] <= [27], direct
4	1	46720	85705	41401	|	0.91551	0.88615	0.48306	0.62527	|	0.88789	0.53884	0.36233	0.43330	|	[4] <= [27], -iterate/-dimlex
4	1	41870	85705	24057	|	0.86472	0.57456	0.28069	0.37714	|	0.85700	0.46634	0.24054	0.31738	|	[4] <= [24], direct
4	1	15387	85705	14692	|	0.87792	0.95483	0.17142	0.29066	|	0.87444	0.82218	0.15121	0.25544	|	[4] <= [24], -iterate/-dimlex
4	2	82421	85705	53673	|	0.89652	0.65120	0.62625	0.63848	|	0.85449	0.35169	0.47504	0.40416	|	[4] <= [21, 27], direct
4	2	60873	85705	51627	|	0.92624	0.84810	0.60238	0.70443	|	0.90088	0.60338	0.51872	0.55786	|	[4] <= [21, 27], -iterate/-dimlex
4	1	48501	85705	37290	|	0.89849	0.76885	0.43509	0.55571	|	0.88216	0.57110	0.36391	0.44455	|	[4] <= [21], direct
4	1	38340	85705	34268	|	0.90549	0.89379	0.39983	0.55250	|	0.89202	0.68735	0.33877	0.45385	|	[4] <= [21], -iterate/-dimlex
4	2	74244	85705	47258	|	0.88860	0.63652	0.55140	0.59091	|	0.87011	0.49026	0.48631	0.48828	|	[4] <= [21, 24], direct
4	2	48703	85705	42991	|	0.91755	0.88271	0.50161	0.63970	|	0.90690	0.75424	0.46236	0.57329	|	[4] <= [21, 24], -iterate/-dimlex
4	3	70541	85705	49276	|	0.90177	0.69854	0.57494	0.63074	|	0.87552	0.47996	0.48170	0.48083	|	[4] <= [18, 24, 27], direct
4	3	51990	85705	46975	|	0.92552	0.90353	0.54810	0.68230	|	0.91440	0.77784	0.51079	0.61665	|	[4] <= [18, 24, 27], -iterate/-dimlex
4	2	81679	85705	51027	|	0.88877	0.62472	0.59537	0.60969	|	0.85156	0.35711	0.45685	0.40087	|	[4] <= [18, 27], direct
4	2	57723	85705	47659	|	0.91809	0.82565	0.55608	0.66457	|	0.90299	0.67203	0.50485	0.57657	|	[4] <= [18, 27], -iterate/-dimlex
4	1	47882	85705	35195	|	0.89241	0.73503	0.41065	0.52692	|	0.88039	0.58759	0.35774	0.44472	|	[4] <= [18], direct
4	1	30567	85705	28887	|	0.90041	0.94503	0.33705	0.49688	|	0.89051	0.75496	0.28884	0.41782	|	[4] <= [18], -iterate/-dimlex
4	2	72738	85705	44132	|	0.88052	0.60672	0.51492	0.55707	|	0.86477	0.47957	0.45624	0.46761	|	[4] <= [18, 24], direct
4	2	43051	85705	38415	|	0.91159	0.89231	0.44822	0.59671	|	0.89970	0.72999	0.39924	0.51617	|	[4] <= [18, 24], -iterate/-dimlex
4	3	67612	85705	50880	|	0.91222	0.75252	0.59366	0.66372	|	0.88840	0.54555	0.51437	0.52950	|	[4] <= [18, 21, 27], direct
4	3	51905	85705	47701	|	0.92814	0.91900	0.55657	0.69327	|	0.91563	0.77745	0.51499	0.61957	|	[4] <= [18, 21, 27], -iterate/-dimlex
4	2	70341	85705	49458	|	0.90273	0.70311	0.57707	0.63389	|	0.88318	0.53985	0.51163	0.52536	|	[4] <= [18, 21], direct
4	2	51304	85705	45741	|	0.92249	0.89156	0.53370	0.66770	|	0.91114	0.76167	0.49438	0.59959	|	[4] <= [18, 21], -iterate/-dimlex
