-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	7	69022	85705	56623	|	0.92938	0.82036	0.66067	0.73190	|	0.92841	0.81213	0.65840	0.72723	|	[4] <= [7, 12, 15, 18, 21, 24, 27], direct
4	7	60342	85705	54643	|	0.93741	0.90555	0.63757	0.74829	|	0.93739	0.90530	0.63750	0.74816	|	[4] <= [7, 12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	6	64110	85705	52345	|	0.92317	0.81648	0.61075	0.69879	|	0.92222	0.80778	0.60820	0.69393	|	[4] <= [12, 15, 18, 21, 24, 27], direct
4	6	53673	85705	48492	|	0.92782	0.90347	0.56580	0.69583	|	0.92780	0.90322	0.56573	0.69571	|	[4] <= [12, 15, 18, 21, 24, 27], -iterate/-dimlex
4	5	60255	85705	47382	|	0.91284	0.78635	0.55284	0.64924	|	0.91202	0.77840	0.55033	0.64479	|	[4] <= [15, 18, 21, 24, 27], direct
4	5	48194	85705	44220	|	0.92260	0.91754	0.51595	0.66049	|	0.92258	0.91720	0.51586	0.66033	|	[4] <= [15, 18, 21, 24, 27], -iterate/-dimlex
4	4	68086	85705	51325	|	0.91293	0.75382	0.59885	0.66746	|	0.91193	0.74518	0.59608	0.66234	|	[4] <= [18, 21, 24, 27], direct
4	4	53293	85705	48231	|	0.92758	0.90501	0.56275	0.69398	|	0.92756	0.90484	0.56271	0.69389	|	[4] <= [18, 21, 24, 27], -iterate/-dimlex
4	3	70321	85705	50175	|	0.90521	0.71351	0.58543	0.64316	|	0.90373	0.70112	0.58118	0.63554	|	[4] <= [21, 24, 27], direct
4	3	51780	85705	46739	|	0.92508	0.90264	0.54534	0.67991	|	0.92505	0.90237	0.54527	0.67977	|	[4] <= [21, 24, 27], -iterate/-dimlex
4	2	87449	85705	50727	|	0.87793	0.58007	0.59187	0.58591	|	0.87430	0.55570	0.58147	0.56829	|	[4] <= [24, 27], direct
4	2	56661	85705	48030	|	0.92116	0.84767	0.56041	0.67473	|	0.92108	0.84680	0.56015	0.67428	|	[4] <= [24, 27], -iterate/-dimlex
4	1	65953	85705	44089	|	0.89192	0.66849	0.51442	0.58142	|	0.88797	0.63329	0.50091	0.55937	|	[4] <= [27], direct
4	1	46538	85705	41332	|	0.91559	0.88813	0.48225	0.62509	|	0.91280	0.85295	0.47217	0.60785	|	[4] <= [27], -iterate/-dimlex
4	1	41780	85705	24009	|	0.86471	0.57465	0.28013	0.37665	|	0.86203	0.53697	0.26666	0.35636	|	[4] <= [24], direct
4	1	15362	85705	14663	|	0.87786	0.95449	0.17108	0.29016	|	0.87747	0.93972	0.16888	0.28631	|	[4] <= [24], -iterate/-dimlex
4	2	82319	85705	53630	|	0.89655	0.65148	0.62575	0.63836	|	0.89464	0.63790	0.62080	0.62924	|	[4] <= [21, 27], direct
4	2	60892	85705	51615	|	0.92617	0.84764	0.60224	0.70417	|	0.92600	0.84607	0.60179	0.70332	|	[4] <= [21, 27], -iterate/-dimlex
4	1	48492	85705	37289	|	0.89850	0.76897	0.43508	0.55573	|	0.89782	0.76076	0.43244	0.55143	|	[4] <= [21], direct
4	1	38343	85705	34271	|	0.90550	0.89380	0.39987	0.55254	|	0.90510	0.88764	0.39821	0.54978	|	[4] <= [21], -iterate/-dimlex
