-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	10	1343	1297	418	|	0.96522	0.31124	0.32228	0.31666	|	0.96200	0.18689	0.22212	0.20299	|	[4] <= [7, 10, 13, 16, 21, 24, 27, 30, 33, 36], direct
4	10	449	1297	327	|	0.97895	0.72828	0.25212	0.37457	|	0.97787	0.60356	0.21837	0.32071	|	[4] <= [7, 10, 13, 16, 21, 24, 27, 30, 33, 36], -iterate/-dimlex
4	9	1458	1297	459	|	0.96459	0.31481	0.35389	0.33321	|	0.96141	0.20164	0.25971	0.22702	|	[4] <= [10, 13, 16, 21, 24, 27, 30, 33, 36], direct
4	9	520	1297	364	|	0.97900	0.7	0.28064	0.40066	|	0.97634	0.43461	0.19499	0.26920	|	[4] <= [10, 13, 16, 21, 24, 27, 30, 33, 36], -iterate/-dimlex
4	8	1560	1297	486	|	0.96366	0.31153	0.37471	0.34021	|	0.96050	0.20641	0.28420	0.23913	|	[4] <= [13, 16, 21, 24, 27, 30, 33, 36], direct
4	8	547	1297	384	|	0.97925	0.70201	0.29606	0.41648	|	0.97663	0.45338	0.21360	0.29039	|	[4] <= [13, 16, 21, 24, 27, 30, 33, 36], -iterate/-dimlex
4	7	1521	1297	422	|	0.96194	0.27744	0.32536	0.29950	|	0.96013	0.21564	0.27265	0.24082	|	[4] <= [16, 21, 24, 27, 30, 33, 36], direct
4	7	396	1297	223	|	0.97596	0.56313	0.17193	0.26343	|	0.97571	0.53030	0.16355	0.25	|	[4] <= [16, 21, 24, 27, 30, 33, 36], -iterate/-dimlex
4	6	1424	1297	374	|	0.96196	0.26264	0.28835	0.27489	|	0.95998	0.19030	0.22696	0.20702	|	[4] <= [21, 24, 27, 30, 33, 36], direct
4	6	345	1297	202	|	0.97613	0.58550	0.15574	0.24604	|	0.97584	0.54202	0.14586	0.22987	|	[4] <= [21, 24, 27, 30, 33, 36], -iterate/-dimlex
4	5	1309	1297	306	|	0.96156	0.23376	0.23592	0.23484	|	0.95946	0.15049	0.16582	0.15778	|	[4] <= [24, 27, 30, 33, 36], direct
4	5	229	1297	141	|	0.97602	0.61572	0.10871	0.18479	|	0.97582	0.57205	0.10178	0.17282	|	[4] <= [24, 27, 30, 33, 36], -iterate/-dimlex
4	4	1653	1297	417	|	0.95921	0.25226	0.32151	0.28271	|	0.95709	0.18572	0.25863	0.21619	|	[4] <= [27, 30, 33, 36], direct
4	4	390	1297	232	|	0.97642	0.59487	0.17887	0.27504	|	0.97613	0.55641	0.16926	0.25956	|	[4] <= [27, 30, 33, 36], -iterate/-dimlex
4	3	1671	1297	382	|	0.95751	0.22860	0.29452	0.25741	|	0.95533	0.16098	0.22719	0.18844	|	[4] <= [30, 33, 36], direct
4	3	307	1297	175	|	0.97582	0.57003	0.13492	0.21820	|	0.97565	0.54071	0.12888	0.20815	|	[4] <= [30, 33, 36], -iterate/-dimlex
4	2	2234	1297	423	|	0.94824	0.18934	0.32613	0.23959	|	0.94631	0.14458	0.26984	0.18828	|	[4] <= [33, 36], direct
4	2	397	1297	217	|	0.97571	0.54659	0.16730	0.25619	|	0.97555	0.52644	0.16214	0.24792	|	[4] <= [33, 36], -iterate/-dimlex
4	1	502	1297	159	|	0.97145	0.31673	0.12259	0.17676	|	0.97143	0.31474	0.12191	0.17575	|	[4] <= [36], direct
4	1	222	1297	147	|	0.97638	0.66216	0.11333	0.19354	|	0.97638	0.66216	0.11333	0.19354	|	[4] <= [36], -iterate/-dimlex
4	1	1953	1297	382	|	0.95208	0.19559	0.29452	0.23507	|	0.95017	0.14490	0.23622	0.17962	|	[4] <= [33], direct
4	1	285	1297	183	|	0.97656	0.64210	0.14109	0.23135	|	0.97640	0.61403	0.13576	0.22236	|	[4] <= [33], -iterate/-dimlex
4	2	2343	1297	446	|	0.94703	0.19035	0.34387	0.24505	|	0.94492	0.14383	0.28367	0.19088	|	[4] <= [30, 36], direct
4	2	424	1297	233	|	0.97580	0.54952	0.17964	0.27077	|	0.97557	0.52122	0.17198	0.25863	|	[4] <= [30, 36], -iterate/-dimlex
4	1	2103	1297	416	|	0.95050	0.19781	0.32074	0.24470	|	0.94841	0.14645	0.25904	0.18712	|	[4] <= [30], direct
4	1	378	1297	207	|	0.97569	0.54761	0.15959	0.24716	|	0.97546	0.51587	0.15175	0.23451	|	[4] <= [30], -iterate/-dimlex
4	2	3045	1297	523	|	0.93646	0.17175	0.40323	0.24090	|	0.93409	0.13136	0.34071	0.18961	|	[4] <= [30, 33], direct
4	2	557	1297	323	|	0.97671	0.57989	0.24903	0.34843	|	0.97640	0.55116	0.23965	0.33405	|	[4] <= [30, 33], -iterate/-dimlex
4	3	1509	1297	339	|	0.95898	0.22465	0.26137	0.24162	|	0.95674	0.14777	0.18882	0.16579	|	[4] <= [27, 33, 36], direct
4	3	253	1297	155	|	0.97609	0.61264	0.11950	0.19999	|	0.97590	0.57312	0.11266	0.18831	|	[4] <= [27, 33, 36], -iterate/-dimlex
4	2	2106	1297	413	|	0.95032	0.19610	0.31842	0.24272	|	0.94839	0.14862	0.26148	0.18952	|	[4] <= [27, 36], direct
4	2	399	1297	242	|	0.97663	0.60651	0.18658	0.28537	|	0.97631	0.56390	0.17578	0.26801	|	[4] <= [27, 36], -iterate/-dimlex
4	1	1726	1297	272	|	0.95221	0.15758	0.20971	0.17995	|	0.95030	0.10023	0.14440	0.11833	|	[4] <= [27], direct
4	1	181	1297	94	|	0.97513	0.51933	0.07247	0.12719	|	0.97499	0.48066	0.06744	0.11828	|	[4] <= [27], -iterate/-dimlex
4	2	2939	1297	495	|	0.93743	0.16842	0.38164	0.23371	|	0.93515	0.12827	0.31976	0.18309	|	[4] <= [27, 33], direct
4	2	532	1297	329	|	0.97742	0.61842	0.25366	0.35975	|	0.97702	0.57894	0.24137	0.34070	|	[4] <= [27, 33], -iterate/-dimlex
4	3	1597	1297	371	|	0.95851	0.23231	0.28604	0.25639	|	0.95622	0.15779	0.21392	0.18162	|	[4] <= [27, 30, 36], direct
4	3	333	1297	198	|	0.97621	0.59459	0.15265	0.24294	|	0.97592	0.54954	0.14274	0.22662	|	[4] <= [27, 30, 36], -iterate/-dimlex
4	2	3001	1297	501	|	0.93646	0.16694	0.38627	0.23313	|	0.93403	0.12495	0.32023	0.17976	|	[4] <= [27, 30], direct
4	2	549	1297	329	|	0.97710	0.59927	0.25366	0.35644	|	0.97663	0.55555	0.23959	0.33479	|	[4] <= [27, 30], -iterate/-dimlex
4	3	1851	1297	425	|	0.95570	0.22960	0.32767	0.27001	|	0.95356	0.16963	0.26475	0.20678	|	[4] <= [27, 30, 33], direct
4	3	388	1297	238	|	0.97669	0.61340	0.18350	0.28249	|	0.97636	0.56958	0.17265	0.26498	|	[4] <= [27, 30, 33], -iterate/-dimlex
4	4	1471	1297	352	|	0.96021	0.23929	0.27139	0.25433	|	0.95811	0.16519	0.20454	0.18277	|	[4] <= [24, 30, 33, 36], direct
4	4	291	1297	165	|	0.97575	0.56701	0.12721	0.20780	|	0.97557	0.53608	0.12111	0.19759	|	[4] <= [24, 30, 33, 36], -iterate/-dimlex
4	3	1279	1297	287	|	0.96141	0.22439	0.22127	0.22282	|	0.95921	0.13526	0.14623	0.14053	|	[4] <= [24, 33, 36], direct
4	3	199	1297	132	|	0.97625	0.66331	0.10177	0.17647	|	0.97609	0.62311	0.09619	0.16666	|	[4] <= [24, 33, 36], -iterate/-dimlex
4	2	1157	1297	283	|	0.96360	0.24459	0.21819	0.23064	|	0.96179	0.16335	0.15710	0.16016	|	[4] <= [24, 36], direct
4	2	236	1297	155	|	0.97642	0.65677	0.11950	0.20221	|	0.97627	0.62288	0.11404	0.19278	|	[4] <= [24, 36], -iterate/-dimlex
4	1	655	1297	124	|	0.96715	0.18931	0.09560	0.12704	|	0.96536	0.04732	0.02574	0.03335	|	[4] <= [24], direct
4	1	5	1297	0	|	0.97490	0.0	0.0	0	|	0.97490	0.0	0.0	0	|	[4] <= [24], -iterate/-dimlex
4	2	2051	1297	392	|	0.95057	0.19112	0.30223	0.23416	|	0.94832	0.13408	0.23305	0.17022	|	[4] <= [24, 33], direct
4	2	285	1297	183	|	0.97656	0.64210	0.14109	0.23135	|	0.97640	0.61403	0.13576	0.22236	|	[4] <= [24, 33], -iterate/-dimlex
4	3	1298	1297	296	|	0.96139	0.22804	0.22821	0.22813	|	0.95913	0.13790	0.15169	0.14447	|	[4] <= [24, 30, 36], direct
4	3	211	1297	128	|	0.97586	0.60663	0.09868	0.16976	|	0.97569	0.56398	0.09239	0.15877	|	[4] <= [24, 30, 36], -iterate/-dimlex
4	2	2193	1297	429	|	0.94926	0.19562	0.33076	0.24584	|	0.94689	0.13953	0.26064	0.18176	|	[4] <= [24, 30], direct
4	2	380	1297	209	|	0.97573	0.55	0.16114	0.24925	|	0.97546	0.51315	0.15198	0.23451	|	[4] <= [24, 30], -iterate/-dimlex
4	3	1553	1297	350	|	0.95855	0.22537	0.26985	0.24561	|	0.95645	0.15518	0.20286	0.17584	|	[4] <= [24, 30, 33], direct
4	3	201	1297	133	|	0.97625	0.66169	0.10254	0.17757	|	0.97607	0.61691	0.09627	0.16655	|	[4] <= [24, 30, 33], -iterate/-dimlex
