-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	10	2397	5023	1013	|	0.89652	0.42261	0.20167	0.27304	|	0.89453	0.37922	0.18479	0.24849	|	[4] <= [7, 10, 13, 16, 21, 24, 27, 30, 33, 36], direct
4	10	1050	5023	803	|	0.91431	0.76476	0.15986	0.26444	|	0.91396	0.74761	0.15684	0.25928	|	[4] <= [7, 10, 13, 16, 21, 24, 27, 30, 33, 36], -iterate/-dimlex
4	9	2681	5023	1096	|	0.89426	0.40880	0.21819	0.28452	|	0.89207	0.36628	0.20004	0.25876	|	[4] <= [10, 13, 16, 21, 24, 27, 30, 33, 36], direct
4	9	1156	5023	857	|	0.91435	0.74134	0.17061	0.27739	|	0.91392	0.72231	0.16696	0.27123	|	[4] <= [10, 13, 16, 21, 24, 27, 30, 33, 36], -iterate/-dimlex
4	8	2800	5023	1104	|	0.89229	0.39428	0.21978	0.28224	|	0.88977	0.3475	0.19889	0.25299	|	[4] <= [13, 16, 21, 24, 27, 30, 33, 36], direct
4	8	1145	5023	851	|	0.91433	0.74323	0.16942	0.27594	|	0.91387	0.72227	0.16543	0.26920	|	[4] <= [13, 16, 21, 24, 27, 30, 33, 36], -iterate/-dimlex
4	7	2968	5023	1137	|	0.89033	0.38308	0.22635	0.28457	|	0.88770	0.33692	0.20466	0.25464	|	[4] <= [16, 21, 24, 27, 30, 33, 36], direct
4	7	1146	5023	877	|	0.91530	0.76527	0.17459	0.28432	|	0.91481	0.74258	0.17030	0.27706	|	[4] <= [16, 21, 24, 27, 30, 33, 36], -iterate/-dimlex
4	6	2703	5023	1055	|	0.89227	0.39030	0.21003	0.27310	|	0.88985	0.34369	0.18970	0.24447	|	[4] <= [21, 24, 27, 30, 33, 36], direct
4	6	1018	5023	767	|	0.91354	0.75343	0.15269	0.25393	|	0.91310	0.73084	0.1488	0.24725	|	[4] <= [21, 24, 27, 30, 33, 36], -iterate/-dimlex
4	5	2599	5023	993	|	0.89188	0.38207	0.19769	0.26056	|	0.88947	0.33358	0.17704	0.23132	|	[4] <= [24, 27, 30, 33, 36], direct
4	5	938	5023	715	|	0.91308	0.76226	0.14234	0.23989	|	0.91258	0.73454	0.13788	0.23218	|	[4] <= [24, 27, 30, 33, 36], -iterate/-dimlex
4	4	3453	5023	1116	|	0.88022	0.32319	0.22217	0.26333	|	0.87652	0.26730	0.19109	0.22286	|	[4] <= [27, 30, 33, 36], direct
4	4	1080	5023	786	|	0.91308	0.72777	0.15648	0.25757	|	0.91250	0.7	0.15141	0.24897	|	[4] <= [27, 30, 33, 36], -iterate/-dimlex
4	3	3380	5023	1050	|	0.87909	0.31065	0.20903	0.24991	|	0.87527	0.25177	0.17640	0.20745	|	[4] <= [30, 33, 36], direct
4	3	1029	5023	738	|	0.91222	0.71720	0.14692	0.24388	|	0.91154	0.68318	0.14093	0.23367	|	[4] <= [30, 33, 36], -iterate/-dimlex
4	2	5646	5023	1096	|	0.83739	0.19411	0.21819	0.20545	|	0.83292	0.15285	0.18016	0.16538	|	[4] <= [33, 36], direct
4	2	955	5023	498	|	0.90443	0.52146	0.09914	0.16661	|	0.90395	0.49528	0.09463	0.15891	|	[4] <= [33, 36], -iterate/-dimlex
