-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	2	5759	5023	1341	|	0.84462	0.23285	0.26697	0.24874	|	0.83499	0.14568	0.18557	0.16322	|	[4] <= [27, 30], direct
4	2	1436	5023	967	|	0.91319	0.67339	0.19251	0.29942	|	0.91114	0.59888	0.17493	0.27078	|	[4] <= [27, 30], -iterate/-dimlex
4	3	3133	5023	1015	|	0.88248	0.32397	0.20207	0.24889	|	0.87654	0.22502	0.14958	0.17970	|	[4] <= [27, 30, 33], direct
4	3	951	5023	707	|	0.91252	0.74342	0.14075	0.23669	|	0.91250	0.74237	0.14058	0.23639	|	[4] <= [27, 30, 33], -iterate/-dimlex
4	4	3023	5023	1061	|	0.88636	0.35097	0.21122	0.26373	|	0.87953	0.23321	0.15106	0.18335	|	[4] <= [24, 30, 33, 36], direct
4	4	1090	5023	783	|	0.91277	0.71834	0.15588	0.25617	|	0.90792	0.48623	0.11111	0.18088	|	[4] <= [24, 30, 33, 36], -iterate/-dimlex
4	3	2701	5023	929	|	0.88747	0.34394	0.18494	0.24054	|	0.88057	0.21066	0.12202	0.15453	|	[4] <= [24, 33, 36], direct
4	3	913	5023	643	|	0.91080	0.70427	0.12801	0.21664	|	0.90650	0.45892	0.08730	0.14670	|	[4] <= [24, 33, 36], -iterate/-dimlex
4	2	5017	5023	1279	|	0.85647	0.25493	0.25462	0.25478	|	0.84220	0.10663	0.12502	0.11510	|	[4] <= [24, 36], direct
4	2	1421	5023	920	|	0.91168	0.64743	0.18315	0.28553	|	0.90581	0.43209	0.13016	0.20006	|	[4] <= [24, 36], -iterate/-dimlex
4	1	2118	5023	584	|	0.88542	0.27573	0.11626	0.16356	|	0.87918	0.12228	0.05512	0.07599	|	[4] <= [24], direct
4	1	557	5023	313	|	0.90497	0.56193	0.06231	0.11218	|	0.90046	0.14003	0.01629	0.02918	|	[4] <= [24], -iterate/-dimlex
4	2	4927	5023	1189	|	0.85475	0.24132	0.23671	0.23899	|	0.84657	0.15486	0.16597	0.16022	|	[4] <= [24, 33], direct
4	2	1233	5023	797	|	0.91057	0.64639	0.15867	0.25479	|	0.90560	0.43633	0.11293	0.17942	|	[4] <= [24, 33], -iterate/-dimlex
4	3	2759	5023	963	|	0.88766	0.34903	0.19171	0.24749	|	0.88037	0.21130	0.12556	0.15752	|	[4] <= [24, 30, 36], direct
4	3	926	5023	681	|	0.91201	0.73542	0.13557	0.22894	|	0.90700	0.45356	0.08819	0.14767	|	[4] <= [24, 30, 36], -iterate/-dimlex
4	2	4475	5023	1199	|	0.86380	0.26793	0.23870	0.25247	|	0.85492	0.16446	0.16140	0.16292	|	[4] <= [24, 30], direct
4	2	1396	5023	904	|	0.91154	0.64756	0.17997	0.28166	|	0.90548	0.42120	0.12492	0.19269	|	[4] <= [24, 30], -iterate/-dimlex
4	3	2523	5023	894	|	0.88954	0.35434	0.17798	0.23694	|	0.88385	0.23662	0.12632	0.16471	|	[4] <= [24, 30, 33], direct
